DefaultOrder,Id,Name,PathName,DevName,StarGrade,FamilyName,FamilyNameRuby,PersonalName,PersonalNameRuby,CharacterVoice,School,SchoolYear,CharacterAge,Birthday,BirthDay,CharHeightMetric,Costume
179,16015,アイリ（バンド）,airi_band,CH0251,1,栗村,くりむら,アイリ,,水森ちこ,Trinity,1年生,15歳,1月30日,1/30,160cm,バンド
180,10093,キララ,kirara,CH0136,3,夜桜,よざくら,キララ,,山下七海,Gehenna,2年生,16歳,2月24日,2/24,159cm,
181,10094,モモイ（メイド）,momoi_maid,CH0201,3,才羽,さいば,モモイ,,徳井青空,Millennium,1年生,15歳,12月8日,12/8,143cm,メイド
182,10095,ミドリ（メイド）,midori_maid,CH0202,3,才羽,さいば,ミドリ,,高田憂希,Millennium,1年生,15歳,12月8日,12/8,143cm,メイド
183,20036,セリカ（水着）,serika_swimsuit,CH0189,3,黒見,くろみ,セリカ,,大橋彩香,Abydos,1年生,15歳,6月25日,6/25,153cm,水着
184,10096,カンナ（水着）,kanna_swimsuit,CH0260,3,尾刃,おがた,カンナ,,松岡美里,Valkyrie,3年生,17歳,9月7日,9/7,166cm,水着
185,20037,フブキ（水着）,fubuki_swimsuit,CH0261,3,合歓垣,ねむがき,フブキ,,平山笑美,Valkyrie,1年生,15歳,10月21日,10/21,148cm,水着
186,26012,キリノ（水着）,kirino_swimsuit,CH0262,1,中務,なかつかさ,キリノ,,中島優衣,Valkyrie,1年生,15歳,10月22日,10/22,161cm,水着
187,10097,モエ（水着）,moe_swimsuit,CH0216,3,風倉,かぜくら,モエ,,井澤詩織,SRT,1年生,15歳,9月13日,9/13,163cm,水着
188,10098,ホシノ（臨戦）,hoshino_battle_tank,CH0258_02,3,小鳥遊,たかなし,ホシノ,,花守ゆみり,Abydos,3年生,17歳,1月2日,1/2,145cm,臨戦
189,10099,ホシノ（臨戦）,hoshino_battle_dealer,CH0258_01,3,小鳥遊,たかなし,ホシノ,,花守ゆみり,Abydos,3年生,17歳,1月2日,1/2,145cm,臨戦
190,10100,シロコ＊テラー,shiroko_terror,CH0263,3,砂狼,すなおおかみ,シロコ,,小倉唯,Abydos,3年生,17歳,5月16日,5/16,165cm,
191,26013,アツコ（水着）,atsuko_swimsuit,CH0267,1,秤,はかり,アツコ,,花澤香菜,Arius,1年生,15歳,1月20日,1/20,158cm,水着
192,10101,サオリ（水着）,saori_swimsuit,CH0266,3,錠前,じょうまえ,サオリ,,石上静香,Arius,2年生,17歳,9月3日,9/3,167cm,水着
193,10102,ヒヨリ（水着）,hiyori_swimsuit,CH0269,3,槌永,つちなが,ヒヨリ,,中原麻衣,Arius,2年生,16歳,1月8日,1/8,155cm,水着
194,10103,マリナ（チーパオ）,marina_qipao,CH0270,3,池倉,いけくら,マリナ,,平井祥恵,RedWinter,2年生,16歳,11月4日,11/4,166cm,チーパオ
195,20038,トモエ（チーパオ）,tomoe_qipao,CH0271,3,佐城,さしろ,トモエ,,厚木那奈美,RedWinter,3年生,17歳,11月10日,11/10,165cm,チーパオ
196,10104,レイジョ,reijo,CH0134,3,鹿山,かやま,レイジョ,,菅沼千紗,Shanhaijing,3年生,17歳,3月3日,3/3,169cm,
197,20039,キサキ,kisaki,CH0139,3,竜華,りゅうげ,キサキ,,相坂優歌,Shanhaijing,3年生,17歳,2月19日,2/19,142cm,
198,10105,マリー（アイドル）,mari_idol,CH0273,3,伊落,いおち,マリー,,小澤亜李,Trinity,1年生,15歳,9月12日,9/12,151cm,アイドル
199,10106,サクラコ（アイドル）,sakurako_idol,CH0274,3,歌住,うたずみ,サクラコ,,加隈亜衣,Trinity,3年生,17歳,10月4日,10/4,160cm,アイドル
200,16016,ミネ（アイドル）,mine_idol,CH0275,1,蒼森,あおもり,ミネ,,堀江由衣,Trinity,3年生,17歳,11月23日,11/23,168cm,アイドル
201,10107,チアキ,chiaki,CH0238,3,元宮,もとみや,チアキ,,菅野真衣,Gehenna,2年生,16歳,9月22日,9/22,167cm,
202,20040,サツキ,satsuki,CH0080,3,京極,きょうごく,サツキ,,櫻井浩美,Gehenna,3年生,17歳,4月10日,4/10,172cm,
203,10108,ユウカ（パジャマ）,yuuka_pajama,CH0284,3,早瀬,はやせ,ユウカ,,春花らん,Millennium,2年生,16歳,3月14日,3/14,156cm,パジャマ
204,10109,ノア（パジャマ）,noa_pajama,CH0285,3,生塩,うしお,ノア,,鈴代紗弓,Millennium,2年生,16歳,4月13日,4/13,161cm,パジャマ
205,10110,セイア,seia,CH0070,3,百合園,ゆりぞの,セイア,,種﨑敦美,Trinity,3年生,17歳,9月29日,9/29,149cm,
206,10112,アスナ（制服）,asuna_uniform,CH0281,3,一之瀬,いちのせ,アスナ,,長谷川育美,Millennium,3年生,17歳,3月24日,3/24,167cm,制服
207,26014,カリン（制服）,karin_uniform,CH0282,1,角楯,かくだて,カリン,,沼倉愛美,Millennium,2年生,16歳,2月2日,2/2,170cm,制服
208,10111,ネル（制服）,neru_uniform,CH0280,3,美甘,みかも,ネル,,小清水亜美,Millennium,3年生,17歳,8月17日,8/17,146cm,制服
209,20041,リオ,rio,CH0158,3,調月,つかつき,リオ,,Lynn,Millennium,3年生,17歳,6月6日,6/6,171cm,
210,20042,マキ（キャンプ）,maki_camp,CH0235,3,小塗,こぬり,マキ,,三上枝織,Millennium,1年生,15歳,8月1日,8/1,149cm,キャンプ
